Airflow ,Env,Brand,Airflow Type,Conn Id,Host,Description,Note
Prod Sporty DWH,Prod,Sporty,Data Warehouse,bi_report_rds_conn,bigdata-o1.mysql.pub.s.sportybet,BI-team owned DB — app_airflow migration in progress,
Prod Sporty RPT,Prod,Sporty,BI Report,bet_bi_pub_prod_rw,bet-bi-o1.mysql.global.s.sportybet,BI-team owned DB — app_airflow migration in progress,
Prod Sporty RPT,Prod,Sporty,BI Report,bet_bi_pub_stg_rw,bet-bi-s1.mysql.global.s.sportybet,this is bet_bi staging/stage/stg | BI-team owned DB — app_airflow migration in progress,not in DBA list
Prod Sporty RPT,Prod,Sporty,BI Report,bi_bigdata_ro,replica-bi-bigdata-o1.mysql.pub.s.sportybet,BI-team owned DB — app_airflow migration in progress,
Prod Sporty RPT,Prod,Sporty,BI Report,bi_bigdata_rw,bi-bigdata-o1.mysql.pub.s.sportybet,BI-team owned DB — app_airflow migration in progress,
Prod Sporty RPT,Prod,Sporty,BI Report,bi_report_rds_conn,bigdata-o1.mysql.pub.s.sportybet,BI-team owned DB — app_airflow migration in progress,
Prod Sporty RPT,Prod,Sporty,BI Report,bi_report_rds_conn_not_extra,bigdata-o1.mysql.pub.s.sportybet,BI-team owned DB — app_airflow migration in progress,
Prod Sporty RPT,Prod,Sporty,BI Report,bi_report_rds_conn_ro,replica-bigdata-o1.mysql.pub.s.sportybet,BI-team owned DB — app_airflow migration in progress,
Prod Sporty RPT,Prod,Sporty,BI Report,bi_report_rds_reader_conn,replica-bigdata-o1.mysql.pub.s.sportybet,BI-team owned DB — app_airflow migration in progress,
Prod Sporty RPT,Prod,Sporty,BI Report,bigdata_ticket_prod,bigdata-ticket-o1.mysql.pub.s.sportybet,BI-team owned DB — app_airflow migration in progress,
Prod Sporty RPT,Prod,Sporty,BI Report,bigdata_ticket_prod_green,bigdata-ticket-prod-instance-2-green-xg6lwv.cvdgobmslfew.eu-central-1.rds.amazonaws.com,BI-team owned DB — app_airflow migration in progress,
UAT Sporty DWH,UAT,Sporty,Data Warehouse,bi_report_rds_conn,bi-main2-t1.mysql.pub.s.sportybet,BI-team owned DB — app_airflow migration in progress,
UAT Sporty RPT,UAT,Sporty,BI Report,bet_bi_pub_prod_rw,bet-bi-t1.mysql.global.s.sportybet,BI-team owned DB — app_airflow migration in progress,
UAT Sporty RPT,UAT,Sporty,BI Report,bet_bi_pub_stg_rw,bet-bi-t1.mysql.global.s.sportybet,BI-team owned DB — app_airflow migration in progress,
UAT Sporty RPT,UAT,Sporty,BI Report,bet_bi_pub_uat_rw,bet-bi-t1.mysql.global.s.sportybet,BI-team owned DB — app_airflow migration in progress,
UAT Sporty RPT,UAT,Sporty,BI Report,bi_bigdata_rw,bi-main2-t1.mysql.pub.s.sportybet,#UAT #RW #BIGDATA | BI-team owned DB — app_airflow migration in progress,
UAT Sporty RPT,UAT,Sporty,BI Report,bi_report_rds_conn,bi-main2-t1.mysql.pub.s.sportybet,#UAT | BI-team owned DB — app_airflow migration in progress,
UAT Sporty RPT,UAT,Sporty,BI Report,bi_report_rds_conn_not_extra,bi-main2-t1.mysql.pub.s.sportybet,BI-team owned DB — app_airflow migration in progress,
UAT Sporty RPT,UAT,Sporty,BI Report,bi_report_rds_conn_ro,bi-main2-t1.mysql.pub.s.sportybet,#UAT note : uat read and write server are with the same host. | BI-team owned DB — app_airflow migration in progress,
UAT Sporty RPT,UAT,Sporty,BI Report,bi_report_rds_reader_conn,bi-main2-t1.mysql.pub.s.sportybet,BI-team owned DB — app_airflow migration in progress,
UAT Sporty RPT,UAT,Sporty,BI Report,bigdata_ticket_prod,bi-main2-t1.mysql.pub.s.sportybet,"use bi_rds instead, cause we don't have bigdata_ticket for UAT. #RW | BI-team owned DB — app_airflow migration in progress",
UAT Sporty RPT,UAT,Sporty,BI Report,bigdata_ticket_prod_ro,bi-main2-t1.mysql.pub.s.sportybet,BI-team owned DB — app_airflow migration in progress,
Prod Encore DWH,Prod,Enocre,Data Warehouse,bi_report_rds_conn,bi-main-o1.mysql.pub.s.encore,BI-team owned DB — app_airflow migration in progress,
Prod Encore DWH,Prod,Enocre,Data Warehouse,bi_report_rds_rw,bi-main-o1.mysql.pub.s.encore,BI-team owned DB — app_airflow migration in progress,
Prod Encore RPT,Prod,Enocre,BI Report,bet_bi_pub_prod_rw,bet-bi-o1.mysql.global.s.encore,BI-team owned DB — app_airflow migration in progress,
Prod Encore RPT,Prod,Enocre,BI Report,bi_bigdata_rw,bi-main-o1.mysql.pub.s.encore,BI-team owned DB — app_airflow migration in progress,
Prod Encore RPT,Prod,Enocre,BI Report,bi_report_rds_conn,bi-main-o1.mysql.pub.s.encore,BI-team owned DB — app_airflow migration in progress,
Prod Encore RPT,Prod,Enocre,BI Report,bi_report_rds_conn_not_extra,bi-main-o1.mysql.pub.s.encore,BI-team owned DB — app_airflow migration in progress,
Prod Encore RPT,Prod,Enocre,BI Report,bigdata_ticket_prod,bi-main-o1.mysql.pub.s.encore,BI-team owned DB — app_airflow migration in progress,
